"municipio","uf","treated","project_name","start_date","end_date"
"Uberlândia","MG",1,"Obra Transparente","2017-05-01","2019-06-30"
"Araucária","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Campo Mourão","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Cascavel","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Foz do Iguaçu","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Goioerê","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Guarapuava","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Paranaguá","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Ponta Grossa","PR",1,"Obra Transparente","2017-05-01","2019-06-30"
"Gravataí","RS",1,"Obra Transparente","2017-05-01","2019-06-30"
"Lajeado","RS",1,"Obra Transparente","2017-05-01","2019-06-30"
"Pelotas","RS",1,"Obra Transparente","2017-05-01","2019-06-30"
"Santa Maria","RS",1,"Obra Transparente","2017-05-01","2019-06-30"
"Caçador","SC",1,"Obra Transparente","2017-05-01","2019-06-30"
"Chapecó","SC",1,"Obra Transparente","2017-05-01","2019-06-30"
"Imbituba","SC",1,"Obra Transparente","2017-05-01","2019-06-30"
"Palhoça","SC",1,"Obra Transparente","2017-05-01","2019-06-30"
"São Francisco do Sul","SC",1,"Obra Transparente","2017-05-01","2019-06-30"
"Limeira","SP",1,"Obra Transparente","2017-05-01","2019-06-30"
"São José dos Campos","SP",1,"Obra Transparente","2017-05-01","2019-06-30"
"Taubaté","SP",1,"Obra Transparente","2017-05-01","2019-06-30"
